t,rt,cond,sub,a,r,acc,s,block
56,NaN,1,5,1,1,NaN,3,1
57,582,1,5,2,1,1,1,1
58,NaN,1,5,1,1,1,2,1
59,NaN,1,5,1,0,NaN,3,1
60,NaN,1,5,1,0,0,1,1
61,NaN,1,5,1,0,0,1,1
62,NaN,1,5,1,0,NaN,3,1
63,NaN,1,5,1,0,1,2,1
64,NaN,1,5,1,0,NaN,3,1
65,NaN,1,5,1,1,1,2,1
66,NaN,1,5,1,1,0,1,1
67,NaN,1,5,1,0,0,1,1
68,NaN,1,5,1,1,1,2,1
69,NaN,1,5,1,0,NaN,3,1
70,1130,1,5,2,0,1,1,1
71,NaN,1,5,1,1,NaN,3,1
72,NaN,1,5,1,1,1,2,1
73,NaN,1,5,1,0,0,1,1
74,NaN,1,5,1,1,1,2,1
75,NaN,1,5,1,0,NaN,3,1
76,NaN,1,5,1,1,1,2,1
77,NaN,1,5,1,1,0,1,1
78,656,1,5,2,1,NaN,3,1
79,NaN,1,5,1,1,1,2,1
80,NaN,1,5,1,1,NaN,3,1
81,NaN,1,5,1,0,0,1,1
82,661,1,5,2,1,1,1,1
83,NaN,1,5,1,1,1,2,1
84,NaN,1,5,1,0,NaN,3,1
85,595,1,5,2,0,NaN,3,1
86,NaN,1,5,1,1,1,2,1
87,NaN,1,5,1,1,0,1,1
88,NaN,1,5,1,1,1,2,1
89,NaN,1,5,1,1,0,1,1
90,464,1,5,2,0,NaN,3,1
91,NaN,1,5,1,0,0,1,1
92,NaN,1,5,1,0,NaN,3,1
93,NaN,1,5,1,1,1,2,1
94,NaN,1,5,1,0,0,1,1
95,NaN,1,5,1,0,NaN,3,1
96,NaN,1,5,1,1,1,2,1
97,NaN,1,5,1,1,1,2,1
98,NaN,1,5,1,0,0,1,1
99,NaN,1,5,1,1,NaN,3,1
100,NaN,1,5,1,1,1,2,1
101,NaN,1,5,1,1,NaN,3,1
102,609,1,5,2,0,1,1,1
103,NaN,1,5,1,0,NaN,3,1
104,NaN,1,5,1,0,0,1,1
105,NaN,1,5,1,1,1,2,1
106,NaN,1,5,1,1,0,1,1
107,NaN,1,5,1,1,1,2,1
108,553,1,5,2,1,NaN,3,1
109,NaN,1,5,1,1,1,2,1
110,NaN,1,5,1,0,NaN,3,1
111,NaN,1,5,1,1,0,1,1
112,518,1,5,2,0,NaN,3,1
113,NaN,1,5,1,1,1,2,1
114,NaN,1,5,1,0,0,1,1
115,NaN,1,5,1,1,1,2,1
116,415,1,5,2,1,1,1,1
117,NaN,1,5,1,1,NaN,3,1
118,NaN,1,5,1,1,1,2,1
119,NaN,1,5,1,1,NaN,3,1
120,1395,1,5,2,1,1,1,1
1,1071,2,6,2,1,1,3,1
2,584,2,6,2,0,1,1,1
3,555,2,6,2,0,0,2,1
4,620,2,6,2,0,1,1,1
5,576,2,6,2,0,0,2,1
6,523,2,6,2,0,1,3,1
7,571,2,6,2,0,0,2,1
8,592,2,6,2,1,1,1,1
9,555,2,6,2,1,1,3,1
10,NaN,2,6,1,1,1,2,1
11,590,2,6,2,0,1,3,1
12,689,2,6,2,1,1,1,1
13,521,2,6,2,0,1,3,1
14,587,2,6,2,0,1,1,1
15,730,2,6,2,0,0,2,1
16,1018,2,6,2,1,1,1,1
17,NaN,2,6,1,1,1,2,1
18,895,2,6,2,1,1,3,1
19,617,2,6,2,1,1,1,1
20,564,2,6,2,1,1,3,1
21,1020,2,6,2,0,0,2,1
22,353,2,6,2,1,1,1,1
23,NaN,2,6,1,1,1,2,1
24,404,2,6,2,1,1,3,1
25,NaN,2,6,1,1,1,2,1
26,522,2,6,2,1,1,1,1
27,908,2,6,2,1,1,3,1
28,611,2,6,2,0,1,3,1
29,NaN,2,6,1,1,1,2,1
30,495,2,6,2,1,1,1,1
31,793,2,6,2,1,1,3,1
32,NaN,2,6,1,1,1,2,1
33,996,2,6,2,1,1,1,1
34,761,2,6,2,1,1,3,1
35,428,2,6,2,1,0,2,1
36,500,2,6,2,1,1,1,1
37,888,2,6,2,0,0,2,1
38,348,2,6,2,1,1,1,1
39,882,2,6,2,1,1,3,1
40,NaN,2,6,1,1,1,2,1
41,529,2,6,2,1,1,1,1
42,547,2,6,2,1,1,3,1
43,440,2,6,2,1,1,1,1
44,698,2,6,2,0,1,3,1
45,NaN,2,6,1,1,1,2,1
46,NaN,2,6,1,1,1,2,1
47,312,2,6,2,0,1,1,1
48,986,2,6,2,1,1,3,1
49,1201,2,6,2,1,1,3,1
50,NaN,2,6,1,1,1,2,1
51,909,2,6,2,1,1,1,1
52,637,2,6,2,1,1,3,1
53,NaN,2,6,1,1,1,2,1
54,534,2,6,2,1,1,1,1
55,450,2,6,2,0,1,3,1
56,NaN,2,6,1,1,1,2,1
57,507,2,6,2,0,1,1,1
58,807,2,6,2,1,1,3,1
59,603,2,6,2,0,0,2,1
60,1341,2,6,2,1,1,1,1
61,850,2,6,2,0,0,2,1
62,396,2,6,2,1,1,1,1
63,401,2,6,2,1,1,3,1
64,812,2,6,2,0,0,2,1
65,438,2,6,2,0,1,1,1
66,360,2,6,2,1,1,3,1
67,NaN,2,6,1,0,0,3,1
68,NaN,2,6,1,1,1,2,1
69,807,2,6,2,1,1,1,1
70,1480,2,6,2,1,0,2,1
71,619,2,6,2,1,1,1,1
72,517,2,6,2,1,1,3,1
73,481,2,6,2,0,1,1,1
74,1362,2,6,2,1,0,2,1
75,421,2,6,2,1,1,3,1
76,464,2,6,2,0,1,3,1
77,531,2,6,2,1,1,1,1
78,1967,2,6,2,1,0,2,1
79,655,2,6,2,1,1,3,1
80,953,2,6,2,1,0,2,1
81,655,2,6,2,0,1,1,1
82,NaN,2,6,1,0,0,1,1
83,532,2,6,2,1,1,3,1
84,875,2,6,2,0,0,2,1
85,NaN,2,6,1,1,0,1,1
86,554,2,6,2,1,0,2,1
87,885,2,6,2,1,1,3,1
88,649,2,6,2,0,1,3,1
89,514,2,6,2,0,1,1,1
90,1004,2,6,2,1,0,2,1
91,1254,2,6,2,1,0,2,1
92,NaN,2,6,1,1,0,1,1
93,815,2,6,2,1,1,3,1
94,NaN,2,6,1,1,0,1,1
95,1130,2,6,2,1,1,3,1
96,805,2,6,2,0,0,2,1
97,995,2,6,2,0,1,3,1
98,596,2,6,2,0,0,2,1
99,NaN,2,6,1,0,0,1,1
100,NaN,2,6,1,0,0,3,1
101,NaN,2,6,1,0,0,1,1
102,834,2,6,2,0,0,2,1
103,673,2,6,2,1,1,3,1
104,761,2,6,2,0,1,1,1
105,931,2,6,2,0,0,2,1
106,592,2,6,2,1,1,3,1
107,NaN,2,6,1,1,1,2,1
108,NaN,2,6,1,0,0,1,1
109,605,2,6,2,0,0,2,1
110,713,2,6,2,1,1,3,1
111,427,2,6,2,0,1,1,1
112,1749,2,6,2,1,0,2,1
113,921,2,6,2,1,1,1,1
114,NaN,2,6,1,0,0,3,1
115,1317,2,6,2,0,0,2,1
116,570,2,6,2,1,1,3,1
117,922,2,6,2,1,1,1,1
118,547,2,6,2,0,0,2,1
119,NaN,2,6,1,0,0,1,1
120,420,2,6,2,1,1,3,1
1,NaN,2,7,1,1,1,2,1
2,NaN,2,7,1,1,0,3,1
3,911,2,7,2,1,1,1,1
4,516,2,7,2,0,1,3,1
