sub,t,s,a,acc,r,rt,cond,block
2,75,1,2,1,0,452,1,1
2,76,3,2,NaN,0,411,1,1
2,77,2,2,0,1,402,1,1
2,78,1,2,1,0,656,1,1
2,79,2,2,0,0,409,1,1
2,80,3,2,NaN,0,743,1,1
2,81,1,2,1,0,782,1,1
2,82,2,2,0,0,616,1,1
2,83,1,2,1,0,654,1,1
2,84,3,2,NaN,0,502,1,1
2,85,1,2,1,0,544,1,1
2,86,2,1,1,1,NaN,1,1
2,87,3,2,NaN,1,414,1,1
2,88,3,2,NaN,0,372,1,1
2,89,2,2,0,1,455,1,1
2,90,1,2,1,1,435,1,1
2,91,3,1,NaN,1,NaN,1,1
2,92,1,2,1,1,478,1,1
2,93,2,2,0,0,377,1,1
2,94,2,1,1,1,NaN,1,1
2,95,1,2,1,1,380,1,1
2,96,3,2,NaN,1,680,1,1
2,97,2,1,1,1,NaN,1,1
2,98,3,1,NaN,1,NaN,1,1
2,99,1,1,0,0,NaN,1,1
2,100,1,1,0,0,NaN,1,1
2,101,2,1,1,1,NaN,1,1
2,102,3,2,NaN,1,462,1,1
2,103,1,2,1,1,890,1,1
2,104,3,2,NaN,0,432,1,1
2,105,2,2,0,1,479,1,1
2,106,2,2,0,0,514,1,1
2,107,3,2,NaN,1,1259,1,1
2,108,1,2,1,1,415,1,1
2,109,2,2,0,0,1264,1,1
2,110,3,2,NaN,1,803,1,1
2,111,1,2,1,1,765,1,1
2,112,1,2,1,0,491,1,1
2,113,3,1,NaN,0,NaN,1,1
2,114,2,1,1,1,NaN,1,1
2,115,3,2,NaN,0,818,1,1
2,116,1,1,0,0,NaN,1,1
2,117,2,2,0,0,744,1,1
2,118,2,1,1,1,NaN,1,1
2,119,3,1,NaN,1,NaN,1,1
2,120,1,1,0,0,NaN,1,1
2,121,6,2,NaN,1,817,2,2
2,122,5,2,0,1,470,2,2
2,123,4,2,1,0,515,2,2
2,124,6,2,NaN,1,591,2,2
2,125,4,2,1,1,364,2,2
2,126,5,2,0,0,442,2,2
2,127,5,2,0,1,624,2,2
2,128,6,2,NaN,1,409,2,2
2,129,4,2,1,0,358,2,2
2,130,4,2,1,1,678,2,2
2,131,6,2,NaN,0,438,2,2
2,132,5,2,0,0,547,2,2
2,133,5,2,0,1,986,2,2
2,134,6,2,NaN,0,730,2,2
2,135,4,1,0,0,NaN,2,2
2,136,4,2,1,0,1583,2,2
2,137,6,2,NaN,1,550,2,2
2,138,5,1,1,0,NaN,2,2
2,139,6,2,NaN,1,623,2,2
2,140,5,2,0,0,436,2,2
2,141,4,2,1,1,992,2,2
2,142,5,2,0,1,485,2,2
2,143,4,1,0,1,NaN,2,2
2,144,6,2,NaN,1,682,2,2
2,145,5,1,1,1,NaN,2,2
2,146,6,1,NaN,1,NaN,2,2
2,147,4,1,0,0,NaN,2,2
2,148,6,2,NaN,1,522,2,2
2,149,5,2,0,1,376,2,2
2,150,4,1,0,1,NaN,2,2
2,151,5,2,0,0,457,2,2
2,152,4,2,1,1,435,2,2
2,153,6,2,NaN,1,386,2,2
2,154,4,1,0,0,NaN,2,2
2,155,6,1,NaN,0,NaN,2,2
2,156,5,2,0,0,337,2,2
2,157,5,2,0,0,600,2,2
2,158,6,2,NaN,1,377,2,2
2,159,4,2,1,1,340,2,2
2,160,6,2,NaN,1,686,2,2
2,161,4,2,1,1,724,2,2
2,162,5,1,1,0,NaN,2,2
2,163,5,1,1,1,NaN,2,2
2,164,4,1,0,0,NaN,2,2
2,165,6,2,NaN,0,386,2,2
2,166,5,2,0,0,390,2,2
2,167,4,2,1,1,328,2,2
2,168,6,2,NaN,1,740,2,2
2,169,6,2,NaN,1,625,2,2
2,170,4,1,0,1,NaN,2,2
2,171,5,1,1,0,NaN,2,2
2,172,4,2,1,1,879,2,2
